Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
series-10-apple-logo-with-megnatic-chain-allow-to-open,Series 11 (Allow to open | Cash on delivery),"<div class=""product-block"">
<div class=""rte"">
<div class=""table-wrapper"">
<div class=""table-wrapper"">
<table border=""1"">
<colgroup>
<col>
<col>
</colgroup>
<tbody>
<tr>
<td>Support Devices</td>
<td>Android &amp; IOS</td>
</tr>
<tr>
<td> Logo On/Off</td>
<td>Yes</td>
</tr>
<tr>
<td>Case Size</td>
<td>45mm</td>
</tr>
<tr>
<td>Scroll &amp; Side Buttons</td>
<td>Working</td>
</tr>
<tr>
<td>Always on Display</td>
<td>Yes</td>
</tr>
<tr>
<td>Raise to Wake</td>
<td>Yes</td>
</tr>
<tr>
<td>Main Screen</td>
<td>2.05 HD IPS, 320*385</td>
</tr>
<tr>
<td>Touch Screen</td>
<td>2.3D Curved Capacitive Full-Fit Touch Screen</td>
</tr>
<tr>
<td>Making &amp; Answers Calls</td>
<td>Yes</td>
</tr>
<tr>
<td>Notifications</td>
<td>Yes</td>
</tr>
<tr>
<td>Add Custom Wallpaper</td>
<td>Yes</td>
</tr>
<tr>
<td>Battrey</td>
<td>420mAh</td>
</tr>
<tr>
<td>Charging</td>
<td>Wireless</td>
</tr>
<tr>
<td>Water Resistant</td>
<td>Yes IP67</td>
</tr>
<tr>
<td>Running, Hiking, Football, Badminton, Tennis, Basketball and Others</td>
<td>Sports Mode</td>
</tr>
<tr>
<td>Heart Rate Detection, Pedometer, Blood Pressure, Sedentary Reminder, Sleep Monitoring and Others</td>
<td>Yes</td>
</tr>
<tr>
<td>Instagram, SMS, Whatsapp, News and Others communications in time to remind</td>
<td>Yes</td>
</tr>
<tr>
<td>Find Mobile Phone Function: Anti Lost Reminder</td>
<td>Yes</td>
</tr>
<tr>
<td>Bluetooth Music Playback</td>
<td>Yes</td>
</tr>
<tr>
<td>Vibration</td>
<td>Support</td>
</tr>
<tr>
<td>Alarm Clock, Calendar, Stopwatch, Calculator and Many More</td>
<td>Other Functions</td>
</tr>
<tr>
<td>Warranty</td>
<td>6 Months (Physical Screen &amp; Water Damage Not Included)</td>
</tr>
<tr>
<td>Package Include</td>
<td>
<p>1 Watch, 1silicone band, 1 metal chain, or Alpine Band, 1 Charging Cable, 1 Manual, 1 Brand Box</p>
</td>
</tr>
</tbody>
</table>
</div>
</div>
<div class=""product-block"">
<div class=""rte"">
<p> </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0811/7770/6739/files/cffea9881cb27f79f840ae88ebe34597.jpg?v=1771941301"" alt="""" width=""470"" height=""626""></p>
<p><img height=""711"" width=""474"" alt="""" src=""https://cdn.shopify.com/s/files/1/0811/7770/6739/files/dee74f9feeac670bfa2db80404362205.jpg?v=1771941479""></p>
<p><img height=""491"" width=""475"" alt="""" src=""https://cdn.shopify.com/s/files/1/0811/7770/6739/files/Untitled_design_-_2_8723e457-8d5e-490e-931f-7417a80a740c.webp?v=1771952099""></p>
<p><img height=""469"" width=""469"" alt="""" src=""https://cdn.shopify.com/s/files/1/0811/7770/6739/files/Untitled_design_337c28e8-f23d-4cac-a26a-4a9508a1e007.webp?v=1771952187""></p>
</div>
</div>
<div class=""product-block"">
<div class=""social-sharing""></div>
</div>
</div>
</div>",My Store,Apparel & Accessories > Jewelry > Smart Watches,"","#smartwatch, hot, watch",true,Color,Black,,,,,,,,,0.0,,-1379,deny,manual,5500.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/dee74f9feeac670bfa2db80404362205.webp?v=1774961750,1,"",false,,,,kg,,,active
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,Silver,,,,,,,,,0.0,,-238,deny,manual,5500.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Capture.png?v=1774983496,2,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/ookog.jpg?v=1774983496,kg,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsApp_Image_2026-01-29_at_6.11.07_PM.jpg?v=1774983496,3,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsApp_Image_2026-01-29_at_6.11.06_PM.jpg?v=1774983496,4,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/ookog.jpg?v=1774983496,5,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Capture_9b6d3429-3507-4e4d-9082-e7b5511ceb1f.png?v=1774983496,6,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Capture_891e845e-6f29-466f-bf1c-efea7ec1285f.png?v=1774983496,7,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Capture_ff2e497d-f5fe-4f6e-bf5b-6a3a679bbe22.png?v=1774983496,8,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/jjgfftf.jpg?v=1774983496,9,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/91P23Cq8JNL._AC_SX522_a99c882d-c537-4f20-b429-2a5a922ef9cd.jpg?v=1774983496,10,"",,,,,,,,
